id,pred_playlist,pred_id,pred_proba,playlist_name,playlist_id,track,track_id,artist_name,duration,explicit,track_popularity,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,artist_id,artist_followers,artist_genre,artist_img,artist_popularity,album,album_popularity,album_id,album_art,album_release_date,release_date_precision,date_added_to_playlist,preview_url,pop,rap,dance_pop,pop_rap,postteen_pop,hip_hop,rock,trap_music,modern_rock,latin,edm,tropical_house,southern_hip_hop,rnb,classic_rock,unclassified,created_at,updated_at,user_id
8472,,,,Golden Grahams // Weekend Mornings // Morning Playlist,5zMvNwy2V4tSVwFKK4rKzg,Real Love Baby,6YDf6QV7QfCEo8O2dbWalK,Father John Misty,189293,0,68,0.0955,0.417,0.687,0.0278,7,0.0989,-6.484,1,0.0372,204.11,4,0.627,2kGBy2WHvF0VdZyqiVCkDT,338272,"[""art pop"", ""chamber pop"", ""folk-pop"", ""freak folk"", ""indie folk"", ""indie pop"", ""indie rock"", ""indietronica"", ""modern blues"", ""modern rock"", ""neo-psychedelic"", ""new americana"", ""shimmer pop"", ""singer-songwriter"", ""stomp and holler""]",https://i.scdn.co/image/b0471b702a9cf9bd78bef6c9cfa71dd282572bc2,69,Real Love Baby,60,6IpBMtAMrBvSHc9y6rTtQQ,https://i.scdn.co/image/2a0630e238484bee32515acc921bc0b348ba4ffd,2016-07-26,day,2016-08-18T02:55:30Z,https://p.scdn.co/mp3-preview/a73451291399b823c9f1b36d2f507dd0e5052c97?cid=85c2941277484801b6e6103512a2e72c,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,false,2018-02-10 23:51:37 UTC,2018-02-10 23:51:37 UTC,24
8473,,,,Golden Grahams // Weekend Mornings // Morning Playlist,5zMvNwy2V4tSVwFKK4rKzg,Chateau Lobby #4 (in C for Two Virgins),2eg2gvPXuwZ9FyrPaLgrXi,Father John Misty,170840,0,61,0.209,0.436,0.804,0.0,0,0.171,-4.907,1,0.0409,188.061,4,0.784,2kGBy2WHvF0VdZyqiVCkDT,338272,"[""art pop"", ""chamber pop"", ""folk-pop"", ""freak folk"", ""indie folk"", ""indie pop"", ""indie rock"", ""indietronica"", ""modern blues"", ""modern rock"", ""neo-psychedelic"", ""new americana"", ""shimmer pop"", ""singer-songwriter"", ""stomp and holler""]",https://i.scdn.co/image/b0471b702a9cf9bd78bef6c9cfa71dd282572bc2,69,"I Love You, Honeybear",62,2A8IKX257C4hJaYUHMhLP7,https://i.scdn.co/image/a6fa9772b2ac5aca79013afa96c05101f6d24b59,2015-02-10,day,2016-08-23T15:16:28Z,https://p.scdn.co/mp3-preview/1f9ea14fa26f55bbf829b7e44b94e3e5ab057e41?cid=85c2941277484801b6e6103512a2e72c,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,false,2018-02-10 23:51:37 UTC,2018-02-10 23:51:37 UTC,24
8474,,,,Golden Grahams // Weekend Mornings // Morning Playlist,5zMvNwy2V4tSVwFKK4rKzg,Make It Real,1RSL0AkbRrxgjiRRQubpRn,BABE,210300,0,43,0.529,0.749,0.606,0.0283,0,0.0833,-5.431,0,0.0317,100.02,4,0.742,6ODNKwTgm6Xr36vP5mCfXJ,3240,[],https://i.scdn.co/image/9385c288adeed968b7e1172ffe55d2c6a02245fe,35,Make It Real,35,0U29V6UaAr5oB3nz7Ei6NF,https://i.scdn.co/image/0eca2072711ce59dd16ae22e4435926c823bfc27,2014-07-01,day,2016-09-01T15:08:03Z,https://p.scdn.co/mp3-preview/6e8db1403a0387f925061010196fc3a67e39dc2d?cid=85c2941277484801b6e6103512a2e72c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,2018-02-10 23:51:37 UTC,2018-02-10 23:51:37 UTC,24
8475,,,,Golden Grahams // Weekend Mornings // Morning Playlist,5zMvNwy2V4tSVwFKK4rKzg,What's the Score - Live in Manchester,3HM5pSuCEVcxHctLbEFlZX,Ady Suleiman,246000,0,1,0.418,0.541,0.623,0.0,0,0.482,-7.181,0,0.247,105.171,4,0.766,5LuLeXlnT2jFxbx7Cg7j88,25126,"[""deep indie r&b""]",https://i.scdn.co/image/1898ead5033a9994a3c264b46276e47785562944,58,Live in Manchester,1,4Wpb17THOwZUOOh1XYSPno,https://i.scdn.co/image/d7359553c552ba697bad03c13aa4d06dab164710,2015-12-31,day,2016-09-01T15:09:57Z,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,2018-02-10 23:51:37 UTC,2018-02-10 23:51:37 UTC,24
8476,,,,Golden Grahams // Weekend Mornings // Morning Playlist,5zMvNwy2V4tSVwFKK4rKzg,Dear Me,4eGKnAQcHhVDz55BbkjwlM,Eric Hutchinson,230026,0,34,0.0581,0.677,0.728,0.0,9,0.111,-3.675,1,0.0572,89.96,4,0.43,39x8gyJjTHiBQklFgVJSV4,76147,"[""acoustic pop"", ""folk-pop"", ""indiecoustica"", ""neo mellow"", ""pop rock""]",https://i.scdn.co/image/43666f4d870823302b355b4eb6f3c03901bc4d64,53,Easy Street,42,4qz0Gkq4i8X9pIgoABjyCD,https://i.scdn.co/image/621e8cf38e77af4d313985dd0fcfe02bf523dc6a,2016-08-26,day,2016-09-09T20:27:03Z,https://p.scdn.co/mp3-preview/acac7be6459591d235dd91b5bb821d8c4f97fcac?cid=85c2941277484801b6e6103512a2e72c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,2018-02-10 23:51:37 UTC,2018-02-10 23:51:37 UTC,24
8477,,,,Golden Grahams // Weekend Mornings // Morning Playlist,5zMvNwy2V4tSVwFKK4rKzg,I Love The Rain The Most,0j9KNQ9pDEQejEm3wdgiAr,Joe Purdy,278693,0,56,0.797,0.483,0.256,0.00129,8,0.0675,-13.891,1,0.0335,139.904,3,0.582,3MCxkaTJmYKH0FZbe3rYxa,58420,"[""acoustic pop"", ""chamber pop"", ""folk-pop"", ""indie folk"", ""neo mellow"", ""new americana"", ""stomp and holler""]",https://i.scdn.co/image/e402d0ef09dfa1d361c10751d7168fc2ca0abfeb,54,Julie Blue,51,7jCI1V11SNSc6wjEEG2NlG,https://i.scdn.co/image/aa51ac16be32cc4c0ef2d50bb8187278dee99d04,2004-10-18,day,2016-09-11T23:05:08Z,https://p.scdn.co/mp3-preview/d9d3223ffe8f946aa4d3980ea29bd71a016d0765?cid=85c2941277484801b6e6103512a2e72c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,2018-02-10 23:51:37 UTC,2018-02-10 23:51:37 UTC,24
8478,,,,Golden Grahams // Weekend Mornings // Morning Playlist,5zMvNwy2V4tSVwFKK4rKzg,Boardwalks - Sonny Alven Remix,4FC7mUFU0irQ5J7b8ZDtSL,Little May,264925,0,49,0.472,0.722,0.635,0.344,6,0.0933,-11.767,1,0.0454,123.997,4,0.127,0TjAAwE04BeoSeOpJIakYH,33667,"[""chamber pop"", ""deep australian indie"", ""indie anthem-folk"", ""indie folk""]",https://i.scdn.co/image/c929dc95b5e9449688c99980b6f606b820ea305f,59,Boardwalks (Sonny Alven Remix),41,3hrOIoFwtVg6jrKEWkA6Ki,https://i.scdn.co/image/f25501661d8a4f91943f0ba382316dcb4d8d380a,2015-12-11,day,2016-09-12T18:44:21Z,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,2018-02-10 23:51:37 UTC,2018-02-10 23:51:37 UTC,24
8479,,,,Golden Grahams // Weekend Mornings // Morning Playlist,5zMvNwy2V4tSVwFKK4rKzg,Everybody Wants To Rule The World,4RvWPyQ5RL0ao9LPZeSouE,Tears For Fears,251488,0,73,0.372,0.638,0.8,0.00553,7,0.113,-12.077,1,0.0572,112.055,4,0.569,4bthk9UfsYUYdcFyqxmSUU,558658,"[""album rock"", ""art rock"", ""dance rock"", ""mellow gold"", ""new romantic"", ""new wave"", ""new wave pop"", ""permanent wave"", ""rock"", ""soft rock"", ""synthpop""]",https://i.scdn.co/image/bc544c27be5e8b1f6b555ee3e9ad14e4be972a18,71,Songs From The Big Chair (Super Deluxe Edition),66,3myPwaMYjdwhtq0nFgeG6W,https://i.scdn.co/image/5c6f3ddf693cb774e9b6434e82728899b88ed59b,1985-02-25,day,2016-09-16T14:29:01Z,https://p.scdn.co/mp3-preview/0eae1db00010de0cc5a09701610224a26d0e052e?cid=85c2941277484801b6e6103512a2e72c,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,false,2018-02-10 23:51:37 UTC,2018-02-10 23:51:37 UTC,24
8480,,,,Golden Grahams // Weekend Mornings // Morning Playlist,5zMvNwy2V4tSVwFKK4rKzg,Clover,1Mv56qVfquNbC5OWaoUmZ5,The King's Parade,264957,0,33,0.306,0.819,0.59,0.0,1,0.263,-6.51,0,0.0377,118.914,4,0.777,2LW1ekjQ6U5UyxcD5crwXk,3989,[],https://i.scdn.co/image/8225427a692cb4e114667bcd8ac1bb58fce66691,37,Clover,25,23BYDYMgILrm8wMwm9ruFN,https://i.scdn.co/image/67bbabaa38da5abf8c7a518302edefcc95096acb,2016-08-19,day,2016-09-19T15:48:09Z,https://p.scdn.co/mp3-preview/15d8a850fcba4e283d2fad3a3630c7ab40366f15?cid=85c2941277484801b6e6103512a2e72c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,2018-02-10 23:51:37 UTC,2018-02-10 23:51:37 UTC,24
8481,,,,Golden Grahams // Weekend Mornings // Morning Playlist,5zMvNwy2V4tSVwFKK4rKzg,Umpqua Rushing,5KDYoDGFVjJ0QBOgZm87Wm,Blind Pilot,254746,0,54,0.215,0.472,0.598,0.00706,0,0.18,-7.045,1,0.0357,77.988,4,0.371,6qiGjRyN7TJ1GA2nXF68Hi,140776,"[""acoustic pop"", ""chamber pop"", ""folk-pop"", ""indie folk"", ""indie pop"", ""modern rock"", ""neo mellow"", ""new americana"", ""portland indie"", ""stomp and holler""]",https://i.scdn.co/image/01a5a3d205cf4fc556b16660ce0355e9a1e29fde,61,And Then Like Lions,56,6TfyQBYdIhxTjgPh1XhBKp,https://i.scdn.co/image/d94483b89dd4897d4e2b0835a9353415a0070b09,2016-01-01,day,2016-09-19T17:48:52Z,https://p.scdn.co/mp3-preview/76c6f308e1192c6095eaa5adb2a7a6c782e012f9?cid=85c2941277484801b6e6103512a2e72c,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,false,2018-02-10 23:51:37 UTC,2018-02-10 23:51:37 UTC,24
8482,,,,Golden Grahams // Weekend Mornings // Morning Playlist,5zMvNwy2V4tSVwFKK4rKzg,Play That Song,3ZMFrvkNgwwMfPdX3aThYs,Train,241360,0,14,0.0238,0.393,0.825,2.95e-06,3,0.0951,-1.746,1,0.06,99.188,4,0.544,3FUY2gzHeIiaesXtOAdB7A,1881649,"[""neo mellow"", ""pop"", ""pop christmas"", ""pop rap"", ""pop rock"", ""post-grunge"", ""post-teen pop""]",https://i.scdn.co/image/11dc63b92336cff758ebf8d61b67ce9a7e16d07a,77,Play That Song,8,45qJ1sUYhQL9AJUAlCk80Q,https://i.scdn.co/image/9ebec564c25ac03af842378c49fa5e1128caf151,2016,year,2016-09-30T13:42:25Z,,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,false,2018-02-10 23:51:37 UTC,2018-02-10 23:51:37 UTC,24
